municipio,cod_ibge,ano,classe,area_ha
Valença,3306107,1985,Floresta,32531.87411670626
Valença,3306107,1985,Vegetacao_Natural_Nao_Florestal,0.0
Valença,3306107,1985,Silvicultura,51.74569172277754
Valença,3306107,1985,Pastagem,68094.55221442442
Valença,3306107,1985,Agricultura,0.0
Valença,3306107,1985,Mosaico_Agropecuario,27938.725511378798
Valença,3306107,1985,Area_Urbana,526.5851798688079
Valença,3306107,1985,Mineracao,0.0
Valença,3306107,1985,Agua,455.1391818022612
Valença,3306107,1985,Area_Nao_Vegetada,365.1725183090158
Valença,3306107,1985,Aquicultura,0.0
Valença,3306107,1985,Nao_Observado,0.0
Pinheiral,3303955,1985,Floresta,1999.656119556462
Pinheiral,3303955,1985,Vegetacao_Natural_Nao_Florestal,0.0
Pinheiral,3303955,1985,Silvicultura,0.0
Pinheiral,3303955,1985,Pastagem,4331.463771929107
Pinheiral,3303955,1985,Agricultura,0.0
Pinheiral,3303955,1985,Mosaico_Agropecuario,1585.5221191513174
Pinheiral,3303955,1985,Area_Urbana,178.44130687105886
Pinheiral,3303955,1985,Mineracao,0.0
Pinheiral,3303955,1985,Agua,120.74644691809718
Pinheiral,3303955,1985,Area_Nao_Vegetada,9.308395954002352
Pinheiral,3303955,1985,Aquicultura,0.0
Pinheiral,3303955,1985,Nao_Observado,0.0
Rio Claro,3304409,1985,Floresta,567.8637886353565
Rio Claro,3304409,1985,Vegetacao_Natural_Nao_Florestal,0.0
Rio Claro,3304409,1985,Silvicultura,0.0
Rio Claro,3304409,1985,Pastagem,2390.2166546880862
Rio Claro,3304409,1985,Agricultura,0.053470979543293225
Rio Claro,3304409,1985,Mosaico_Agropecuario,827.3845688129757
Rio Claro,3304409,1985,Area_Urbana,2.987930619424465
Rio Claro,3304409,1985,Mineracao,0.0
Rio Claro,3304409,1985,Agua,1.322451837360859
Rio Claro,3304409,1985,Area_Nao_Vegetada,0.9090077728033066
Rio Claro,3304409,1985,Aquicultura,0.0
Rio Claro,3304409,1985,Nao_Observado,0.0
Barra do Piraí,3300308,1985,Floresta,17707.296989682058
Barra do Piraí,3300308,1985,Vegetacao_Natural_Nao_Florestal,0.0
Barra do Piraí,3300308,1985,Silvicultura,75.3977739260185
Barra do Piraí,3300308,1985,Pastagem,24594.48780288288
Barra do Piraí,3300308,1985,Agricultura,0.0
Barra do Piraí,3300308,1985,Mosaico_Agropecuario,10346.754629939387
Barra do Piraí,3300308,1985,Area_Urbana,510.19086940227197
Barra do Piraí,3300308,1985,Mineracao,0.0
Barra do Piraí,3300308,1985,Agua,551.6088520566625
Barra do Piraí,3300308,1985,Area_Nao_Vegetada,33.648510045280645
Barra do Piraí,3300308,1985,Aquicultura,0.0
Barra do Piraí,3300308,1985,Nao_Observado,0.0
Vassouras,3306206,1985,Floresta,9338.225966425856
Vassouras,3306206,1985,Vegetacao_Natural_Nao_Florestal,0.0
Vassouras,3306206,1985,Silvicultura,0.0
Vassouras,3306206,1985,Pastagem,28576.21659664892
Vassouras,3306206,1985,Agricultura,0.0
Vassouras,3306206,1985,Mosaico_Agropecuario,12320.715196722747
Vassouras,3306206,1985,Area_Urbana,359.5729507878423
Vassouras,3306206,1985,Mineracao,0.0
Vassouras,3306206,1985,Agua,573.2483137194433
Vassouras,3306206,1985,Area_Nao_Vegetada,47.82123804787795
Vassouras,3306206,1985,Aquicultura,0.0
Vassouras,3306206,1985,Nao_Observado,0.0
Rio das Flores,3304508,1985,Floresta,8836.227969004798
Rio das Flores,3304508,1985,Vegetacao_Natural_Nao_Florestal,0.0
Rio das Flores,3304508,1985,Silvicultura,0.7460593730211258
Rio das Flores,3304508,1985,Pastagem,24264.76284344647
Rio das Flores,3304508,1985,Agricultura,0.0
Rio das Flores,3304508,1985,Mosaico_Agropecuario,14302.142824234415
Rio das Flores,3304508,1985,Area_Urbana,30.854108199477196
Rio das Flores,3304508,1985,Mineracao,0.0
Rio das Flores,3304508,1985,Agua,400.6014855305351
Rio das Flores,3304508,1985,Area_Nao_Vegetada,4.644408762454987
Rio das Flores,3304508,1985,Aquicultura,0.0
Rio das Flores,3304508,1985,Nao_Observado,0.0
Porto Real,3304110,1985,Floresta,269.1056613719933
Porto Real,3304110,1985,Vegetacao_Natural_Nao_Florestal,0.0
Porto Real,3304110,1985,Silvicultura,0.0
Porto Real,3304110,1985,Pastagem,3358.834019199655
Porto Real,3304110,1985,Agricultura,0.0
Porto Real,3304110,1985,Mosaico_Agropecuario,1041.6445396697109
Porto Real,3304110,1985,Area_Urbana,259.62891232201866
Porto Real,3304110,1985,Mineracao,0.0
Porto Real,3304110,1985,Agua,138.57049769493293
Porto Real,3304110,1985,Area_Nao_Vegetada,21.193860784173012
Porto Real,3304110,1985,Aquicultura,0.0
Porto Real,3304110,1985,Nao_Observado,0.0
Quatis,3304128,1985,Floresta,7462.125286671751
Quatis,3304128,1985,Vegetacao_Natural_Nao_Florestal,0.0
Quatis,3304128,1985,Silvicultura,1.4085433781147003
Quatis,3304128,1985,Pastagem,12078.95462427054
Quatis,3304128,1985,Agricultura,0.0
Quatis,3304128,1985,Mosaico_Agropecuario,8342.10925147016
Quatis,3304128,1985,Area_Urbana,95.72518847882748
Quatis,3304128,1985,Mineracao,0.0
Quatis,3304128,1985,Agua,166.98450510402523
Quatis,3304128,1985,Area_Nao_Vegetada,320.83876327469073
Quatis,3304128,1985,Aquicultura,0.0
Quatis,3304128,1985,Nao_Observado,0.0
Paraíba do Sul,3303708,1985,Floresta,6110.044912886241
Paraíba do Sul,3303708,1985,Vegetacao_Natural_Nao_Florestal,0.0
Paraíba do Sul,3303708,1985,Silvicultura,1.8252795487642288
Paraíba do Sul,3303708,1985,Pastagem,24144.918656175072
Paraíba do Sul,3303708,1985,Agricultura,0.0
Paraíba do Sul,3303708,1985,Mosaico_Agropecuario,12385.920717092611
Paraíba do Sul,3303708,1985,Area_Urbana,312.21978692394845
Paraíba do Sul,3303708,1985,Mineracao,0.0
Paraíba do Sul,3303708,1985,Agua,414.30121754320226
Paraíba do Sul,3303708,1985,Area_Nao_Vegetada,49.01217187870951
Paraíba do Sul,3303708,1985,Aquicultura,0.0
Paraíba do Sul,3303708,1985,Nao_Observado,0.0
Resende,3304201,1985,Floresta,38618.007063157034
Resende,3304201,1985,Vegetacao_Natural_Nao_Florestal,0.0
Resende,3304201,1985,Silvicultura,0.0
Resende,3304201,1985,Pastagem,41358.33426421551
Resende,3304201,1985,Agricultura,0.04420863658774133
Resende,3304201,1985,Mosaico_Agropecuario,22723.45070980016
Resende,3304201,1985,Area_Urbana,1546.2029211881697
Resende,3304201,1985,Mineracao,0.0
Resende,3304201,1985,Agua,3341.3424280562185
Resende,3304201,1985,Area_Nao_Vegetada,1950.6905923574266
Resende,3304201,1985,Aquicultura,0.0
Resende,3304201,1985,Nao_Observado,0.0
Comendador Levy Gasparian,3300951,1985,Floresta,1750.8654030808045
Comendador Levy Gasparian,3300951,1985,Vegetacao_Natural_Nao_Florestal,0.0
Comendador Levy Gasparian,3300951,1985,Silvicultura,0.0
Comendador Levy Gasparian,3300951,1985,Pastagem,5015.16590031219
Comendador Levy Gasparian,3300951,1985,Agricultura,0.0
Comendador Levy Gasparian,3300951,1985,Mosaico_Agropecuario,3716.5358998599295
Comendador Levy Gasparian,3300951,1985,Area_Urbana,88.8730996808293
Comendador Levy Gasparian,3300951,1985,Mineracao,0.0
Comendador Levy Gasparian,3300951,1985,Agua,192.75865585079364
Comendador Levy Gasparian,3300951,1985,Area_Nao_Vegetada,23.305165738773113
Comendador Levy Gasparian,3300951,1985,Aquicultura,0.0
Comendador Levy Gasparian,3300951,1985,Nao_Observado,0.0
Três Rios,3306008,1985,Floresta,710.1026217998534
Três Rios,3306008,1985,Vegetacao_Natural_Nao_Florestal,0.0
Três Rios,3306008,1985,Silvicultura,0.0
Três Rios,3306008,1985,Pastagem,5591.0249749447485
Três Rios,3306008,1985,Agricultura,0.0
Três Rios,3306008,1985,Mosaico_Agropecuario,2328.628727281589
Três Rios,3306008,1985,Area_Urbana,668.3797011467171
Três Rios,3306008,1985,Mineracao,0.0
Três Rios,3306008,1985,Agua,334.93472620175737
Três Rios,3306008,1985,Area_Nao_Vegetada,42.271461811953905
Três Rios,3306008,1985,Aquicultura,0.0
Três Rios,3306008,1985,Nao_Observado,0.0
Paty do Alferes,3303856,1985,Floresta,4464.915476985803
Paty do Alferes,3303856,1985,Vegetacao_Natural_Nao_Florestal,0.0
Paty do Alferes,3303856,1985,Silvicultura,0.0
Paty do Alferes,3303856,1985,Pastagem,15655.833026776514
Paty do Alferes,3303856,1985,Agricultura,0.0
Paty do Alferes,3303856,1985,Mosaico_Agropecuario,6830.9539923303255
Paty do Alferes,3303856,1985,Area_Urbana,79.910086594522
Paty do Alferes,3303856,1985,Mineracao,0.0
Paty do Alferes,3303856,1985,Agua,10.601465120911598
Paty do Alferes,3303856,1985,Area_Nao_Vegetada,40.03035847906973
Paty do Alferes,3303856,1985,Aquicultura,0.0
Paty do Alferes,3303856,1985,Nao_Observado,0.0
Itatiaia,3302254,1985,Floresta,12170.134111425834
Itatiaia,3302254,1985,Vegetacao_Natural_Nao_Florestal,0.0
Itatiaia,3302254,1985,Silvicultura,0.0
Itatiaia,3302254,1985,Pastagem,5893.548850062338
Itatiaia,3302254,1985,Agricultura,0.0
Itatiaia,3302254,1985,Mosaico_Agropecuario,3427.400707639991
Itatiaia,3302254,1985,Area_Urbana,471.12389591134644
Itatiaia,3302254,1985,Mineracao,0.0
Itatiaia,3302254,1985,Agua,769.2314823024115
Itatiaia,3302254,1985,Area_Nao_Vegetada,1334.6653159614289
Itatiaia,3302254,1985,Aquicultura,0.0
Itatiaia,3302254,1985,Nao_Observado,0.0
Piraí,3304003,1985,Floresta,3659.4031233563414
Piraí,3304003,1985,Vegetacao_Natural_Nao_Florestal,0.0
Piraí,3304003,1985,Silvicultura,0.0
Piraí,3304003,1985,Pastagem,4671.044334532292
Piraí,3304003,1985,Agricultura,0.0
Piraí,3304003,1985,Mosaico_Agropecuario,2016.9657497773574
Piraí,3304003,1985,Area_Urbana,45.83388800919057
Piraí,3304003,1985,Mineracao,0.0
Piraí,3304003,1985,Agua,33.13722286326628
Piraí,3304003,1985,Area_Nao_Vegetada,4.584800937859451
Piraí,3304003,1985,Aquicultura,0.0
Piraí,3304003,1985,Nao_Observado,0.0
Barra Mansa,3300407,1985,Floresta,11318.54939310057
Barra Mansa,3300407,1985,Vegetacao_Natural_Nao_Florestal,0.0
Barra Mansa,3300407,1985,Silvicultura,3.8287484225104835
Barra Mansa,3300407,1985,Pastagem,25212.133441929494
Barra Mansa,3300407,1985,Agricultura,0.0
Barra Mansa,3300407,1985,Mosaico_Agropecuario,15466.944137955086
Barra Mansa,3300407,1985,Area_Urbana,2045.6715341839733
Barra Mansa,3300407,1985,Mineracao,16.63480731844902
Barra Mansa,3300407,1985,Agua,385.0530828831828
Barra Mansa,3300407,1985,Area_Nao_Vegetada,189.1963126585764
Barra Mansa,3300407,1985,Aquicultura,0.0
Barra Mansa,3300407,1985,Nao_Observado,0.0
Mendes,3302809,1985,Floresta,878.4040864952932
Mendes,3302809,1985,Vegetacao_Natural_Nao_Florestal,0.0
Mendes,3302809,1985,Silvicultura,0.0
Mendes,3302809,1985,Pastagem,913.066684158087
Mendes,3302809,1985,Agricultura,0.0
Mendes,3302809,1985,Mosaico_Agropecuario,414.5069569210211
Mendes,3302809,1985,Area_Urbana,1.2415407001972198
Mendes,3302809,1985,Mineracao,0.0
Mendes,3302809,1985,Agua,0.0
Mendes,3302809,1985,Area_Nao_Vegetada,0.047068872580341266
Mendes,3302809,1985,Aquicultura,0.0
Mendes,3302809,1985,Nao_Observado,0.0
Volta Redonda,3306305,1985,Floresta,4602.284111314373
Volta Redonda,3306305,1985,Vegetacao_Natural_Nao_Florestal,0.0
Volta Redonda,3306305,1985,Silvicultura,12.647201055785015
Volta Redonda,3306305,1985,Pastagem,6342.32290659056
Volta Redonda,3306305,1985,Agricultura,0.0
Volta Redonda,3306305,1985,Mosaico_Agropecuario,3722.29104563404
Volta Redonda,3306305,1985,Area_Urbana,3105.882919697843
Volta Redonda,3306305,1985,Mineracao,0.0
Volta Redonda,3306305,1985,Agua,396.7695830769109
Volta Redonda,3306305,1985,Area_Nao_Vegetada,28.133321650326252
Volta Redonda,3306305,1985,Aquicultura,0.0
Volta Redonda,3306305,1985,Nao_Observado,0.0
Engenheiro Paulo de Frontin,3301801,1985,Floresta,14.87502516858718
Engenheiro Paulo de Frontin,3301801,1985,Vegetacao_Natural_Nao_Florestal,0.0
Engenheiro Paulo de Frontin,3301801,1985,Silvicultura,0.0
Engenheiro Paulo de Frontin,3301801,1985,Pastagem,65.97074072121407
Engenheiro Paulo de Frontin,3301801,1985,Agricultura,0.0
Engenheiro Paulo de Frontin,3301801,1985,Mosaico_Agropecuario,11.920668631178492
Engenheiro Paulo de Frontin,3301801,1985,Area_Urbana,0.0
Engenheiro Paulo de Frontin,3301801,1985,Mineracao,0.0
Engenheiro Paulo de Frontin,3301801,1985,Agua,1.0621684763069248
Engenheiro Paulo de Frontin,3301801,1985,Area_Nao_Vegetada,0.11361845684986488
Engenheiro Paulo de Frontin,3301801,1985,Aquicultura,0.0
Engenheiro Paulo de Frontin,3301801,1985,Nao_Observado,0.0
Miguel Pereira,3302908,1985,Floresta,1079.46640254303
Miguel Pereira,3302908,1985,Vegetacao_Natural_Nao_Florestal,0.0
Miguel Pereira,3302908,1985,Silvicultura,0.0
Miguel Pereira,3302908,1985,Pastagem,1216.2803720357967
Miguel Pereira,3302908,1985,Agricultura,0.0
Miguel Pereira,3302908,1985,Mosaico_Agropecuario,1167.2363209419104
Miguel Pereira,3302908,1985,Area_Urbana,151.20939408233937
Miguel Pereira,3302908,1985,Mineracao,0.0
Miguel Pereira,3302908,1985,Agua,16.058122664690018
