municipio,cresc_urbano_ha,cresc_urbano_pct,area_urbana_2023_ha
Resende,1734.992005045421,112.20985171287721,3281.1949262335906
Volta Redonda,1249.7703311875184,40.23881013869971,4355.653250885362
Porto Real,898.3849321890115,346.0265361643319,1158.0138445110301
Barra Mansa,803.32014526941,39.2692635081251,2848.9916794533833
Três Rios,713.517222398286,106.7532752975783,1381.8969235450031
Itatiaia,652.7198311773293,138.54526099014825,1123.8437270886757
Barra do Piraí,577.6646956558027,113.2252124254167,1087.8555650580747
Valença,574.9071677140162,109.17648078459918,1101.492347582824
Miguel Pereira,550.5323474924061,364.08607470023975,701.7417415747454
Paraíba do Sul,483.9569114964382,155.00520202914686,796.1766984203866
