municipio,saldo_florestal_recente_ha,saldo_florestal_total_ha,eficiencia_regeneracao
Rio das Flores,166.41846789162534,324.45601460133105,1.4688215438315104
Paraíba do Sul,54.55206141428036,493.8317466232413,1.8637361730617048
Pinheiral,16.515156309774113,16.05659771509029,1.1285472011801505
Três Rios,7.962552899706598,85.78091587804113,3.3296103885414654
Mendes,6.019807586891976,40.10698695723333,3.040673249989941
Miguel Pereira,5.504179179142504,32.413772633847074,2.6669018863987297
Engenheiro Paulo de Frontin,0.3311108201742172,1.5864337039636625,20.16495067293469
Petrópolis,0.0,-0.23119758922679745,0.4869983088735192
Piraí,-2.1195749229075815,-227.9429833702598,0.4909636245804874
Rio Claro,-2.9979083155592283,-8.458591116614201,0.8379696993531831
